DANE,municipio,altitude_min,altitude_max,altitude_mean,gradient_altitude,altitude_centroid
85225,NUNCHÍA,179,1008,301.2,829,231
85230,OROCUÉ,116,179,150.5,63,146
85250,PAZ DE ARIPORO,95,1256,203.7,1161,124
85263,PORE,172,1293,341.4,1121,217
85279,RECETOR,585,3368,1336,2783,1333
85300,SABANALARGA,249,1657,575.5,1408,594
85315,SÁCAMA,618,3004,1566.1,2386,1392
85325,SAN LUIS DE PALENQUE,109,199,159.1,90,154
85400,TÁMARA,393,3110,1303.4,2717,1076
85410,TAURAMENA,151,2404,329.4,2253,195
85430,TRINIDAD,109,187,148.5,78,137
85440,VILLANUEVA,162,263,191,101,190
86001,MOCOA,304,3468,1143.2,3164,1200
86219,COLÓN,2068,3127,2555.8,1059,2550
86320,ORITO,286,3880,989.7,3594,424
86568,PUERTO ASÍS,226,289,244.3,63,250
86569,PUERTO CAICEDO,261,350,287.9,89,322
86571,PUERTO GUZMÁN,200,332,249.9,132,230
86573,PUERTO LEGUÍZAMO,149,233,184.4,84,206
86749,SIBUNDOY,2068,3693,2636.2,1625,2558
86755,SAN FRANCISCO,845,3590,2137.6,2745,2710
86757,SAN MIGUEL,263,326,294,63,289
86760,SANTIAGO,1322,3378,2436.6,2056,2745
86865,VALLE DEL GUAMUEZ,278,491,327.1,213,313
86885,VILLAGARZÓN,291,2213,672.5,1922,570
88001,SAN ANDRÉS,-4,55,4,59,55
88564,PROVIDENCIA,0,200,17.5,200,200
91001,LETICIA,63,140,86,77,140
91263,EL ENCANTO,96,201,125.7,105,150
91405,LA CHORRERA,107,179,132.8,72,179
91407,LA PEDRERA,62,99,78.7,37,90
91430,LA VICTORIA,110,177,130.2,67,177
91460,MIRITÍ - PARANÁ,76,204,130,128,155
91530,PUERTO ALEGRÍA,131,204,154,73,150
91536,PUERTO ARICA,84,148,108.6,64,148
91540,PUERTO NARIÑO,65,122,81.2,57,122
91669,PUERTO SANTANDER,94,170,121.9,76,170
91798,TARAPACÁ,67,141,82.7,74,113
94001,INÍRIDA,76,152,109,76,121
94343,BARRANCOMINAS,93,193,124,100,193
94663,MAPIRIPANA,110,199,160.7,89,183
94883,SAN FELIPE,80,137,102.9,57,120
94884,PUERTO COLOMBIA,87,192,122.2,105,139
94885,LA GUADALUPE,79,137,99.6,58,109
94886,CACAHUAL,77,111,89,34,103
94887,PANA PANA,107,202,155.1,95,171
94888,MORICHAL,118,223,163.2,105,161
95001,SAN JOSÉ DEL GUAVIARE,150,211,173,61,211
95015,CALAMAR,207,305,227.7,98,257
95025,EL RETORNO,142,260,181.3,118,184
95200,MIRAFLORES,168,243,203.6,75,205
97001,MITÚ,151,229,177,78,229
97161,CARURÚ,194,225,210.9,31,225
97511,PACOA,84,236,155.7,152,173
97666,TARAIRA,64,161,109.4,97,132
97777,PAPUNAHUA,141,212,174.9,71,208
97889,YAVARATÉ,99,175,155.9,76,175
99001,PUERTO CARREÑO,39,79,53.6,40,67
99524,LA PRIMAVERA,63,107,91.1,44,103
99624,SANTA ROSALÍA,101,142,121.3,41,142
99773,CUMARIBO,71,162,103.3,91,162
