DANE,municipio,altitude_min,altitude_max,altitude_mean,gradient_altitude,altitude_centroid
15176,CHIQUINQUIRÁ,1949,3169,2598.9,1220,2542
15180,CHISCAS,1515,4608,3862.5,3093,3619
15183,CHITA,1191,4167,2851.3,2976,3047
15185,CHITARAQUE,1352,2380,1774.9,1028,2042
15187,CHIVATÁ,2617,3057,2770.9,440,2818
15189,CIÉNEGA,2157,3262,2598.1,1105,2622
15204,CÓMBITA,2583,3160,2848.7,577,3160
15212,COPER,557,2219,1336.8,1662,1287
15215,CORRALES,2345,3062,2625.5,717,2439
15218,COVARACHÍA,894,2725,1576.9,1831,2255
15223,CUBARÁ,314,3730,1733.8,3416,1685
15224,CUCAITA,2587,3223,2832.7,636,2879
15226,CUÍTIVA,2540,3467,2983.4,927,3106
15232,CHÍQUIZA,2239,3643,2996.2,1404,2929
15236,CHIVOR,760,3021,1796.5,2261,1721
15238,DUITAMA,2463,3925,2815.8,1462,3150
15244,EL COCUY,2579,4515,3692.4,1936,3372
15248,EL ESPINO,1723,3949,2764.1,2226,3046
15272,FIRAVITOBA,2476,3258,2727.8,782,2742
15276,FLORESTA,2482,3264,2934.9,782,2511
15293,GACHANTIVÁ,1940,2732,2209.7,792,2469
15296,GÁMEZA,2284,3913,3044.1,1629,3913
15299,GARAGOA,1252,2958,1960,1706,2331
15317,GUACAMAYAS,1658,3696,2476.3,2038,2689
15322,GUATEQUE,1349,2459,1901.5,1110,1916
15325,GUAYATÁ,1359,3113,2105.1,1754,1812
15332,GÜICÁN DE LA SIERRA,2465,4545,3883.9,2080,3919
15362,IZA,2502,3310,2815.8,808,2698
15367,JENESANO,2050,2863,2380.6,813,2175
15368,JERICÓ,1575,3860,2413.3,2285,2974
15377,LABRANZAGRANDE,610,3447,2031.7,2837,1117
15380,LA CAPILLA,1571,3409,2375,1838,2060
15401,LA VICTORIA,924,1992,1416.4,1068,1190
15403,LA UVITA,1551,4061,2719.7,2510,3020
15407,VILLA DE LEYVA,2048,2994,2292.2,946,2226
15425,MACANAL,1050,2629,1737.7,1579,2080
15442,MARIPÍ,423,2940,1248.9,2517,990
15455,MIRAFLORES,1022,3449,2333.8,2427,2285
15464,MONGUA,1283,3880,2698.4,2597,2662
15466,MONGUÍ,2640,3917,3212,1277,3308
15469,MONIQUIRÁ,1480,2789,2025.8,1309,1858
15476,MOTAVITA,2702,3289,3043.4,587,3135
15480,MUZO,465,1691,783.2,1226,756
15491,NOBSA,2473,3108,2569.9,635,2539
15494,NUEVO COLÓN,2276,2974,2718,698,2369
15500,OICATÁ,2589,2819,2685.2,230,2704
15507,OTANCHE,255,1546,637.2,1291,871
15511,PACHAVITA,1373,3101,1874.9,1728,1869
15514,PÁEZ,593,2574,1571.6,1981,1272
15516,PAIPA,2486,3493,2795.6,1007,3141
15518,PAJARITO,761,3571,2027,2810,1193
15522,PANQUEBA,2071,3733,2955.1,1662,2204
15531,PAUNA,364,2954,1307,2590,972
15533,PAYA,403,2284,1221.2,1881,1481
15537,PAZ DE RÍO,2092,3876,2885.6,1784,2637
15542,PESCA,2510,3763,3070.6,1253,3222
15550,PISBA,1079,3228,1960,2149,2081
15572,PUERTO BOYACÁ,123,977,247.9,854,171
15580,QUÍPAMA,538,1884,894.3,1346,1258
15599,RAMIRIQUÍ,2048,3012,2522.4,964,2956
15600,RÁQUIRA,2245,3433,2740,1188,2665
15621,RONDÓN,1513,3656,2979.1,2143,2006
15632,SABOYÁ,2329,3356,2790,1027,2595
15638,SÁCHICA,2078,2662,2272.7,584,2177
15646,SAMACÁ,2494,3471,2911.7,977,2762
15660,SAN EDUARDO,1258,3216,2223.1,1958,1843
15664,SAN JOSÉ DE PARE,1207,2127,1681.1,920,1795
15667,SAN LUIS DE GACENO,289,1878,924.7,1589,486
15673,SAN MATEO,1343,3741,2635.9,2398,2322
15676,SAN MIGUEL DE SEMA,2454,2817,2613.3,363,2545
15681,SAN PABLO DE BORBUR,337,1239,603.5,902,1184
15686,SANTANA,1038,2040,1453.2,1002,1488
15690,SANTA MARÍA,374,2525,935.2,2151,879
15693,SANTA ROSA DE VITERBO,2478,3916,3038,1438,2899
15696,SANTA SOFÍA,1942,3132,2278.4,1190,2358
15720,SATIVANORTE,1600,3776,2934.5,2176,2906
15723,SATIVASUR,1890,3688,2923.2,1798,3001
15740,SIACHOQUE,2692,3743,3070.2,1051,3133
15753,SOATÁ,1315,3397,2294.6,2082,2220
15755,SOCOTÁ,1388,3690,2748.5,2302,3461
15757,SOCHA,1893,3893,2885.5,2000,2883
15759,SOGAMOSO,2472,3868,2960.3,1396,3085
15761,SOMONDOCO,1262,2781,1881.3,1519,2049
15762,SORA,2523,3269,2930.5,746,2730
15763,SOTAQUIRÁ,2261,3534,2812.4,1273,2809
15764,SORACÁ,2302,3121,2831.4,819,2945
15774,SUSACÓN,1507,3847,2848.3,2340,2687
15776,SUTAMARCHÁN,2058,3422,2361.1,1364,2261
15778,SUTATENZA,1283,2467,1821.5,1184,1878
15790,TASCO,2213,3889,3078.1,1676,3712
15798,TENZA,1316,2447,1969.5,1131,1695
15804,TIBANÁ,1947,2790,2422.4,843,2021
15806,TIBASOSA,2475,2980,2572.5,505,2691
15808,TINJACÁ,2096,2911,2441.4,815,2225
15810,TIPACOQUE,1134,3306,2053.9,2172,1955
15814,TOCA,2671,3756,2935.6,1085,2843
15816,TOGÜÍ,1605,2545,1942.6,940,1986
15820,TÓPAGA,2437,3365,2746.9,928,2835
15822,TOTA,2582,3851,3185.3,1269,3150
15832,TUNUNGUÁ,534,1863,1168,1329,1154
15835,TURMEQUÉ,2282,3273,2822.1,991,2487
15837,TUTA,2541,3387,2734,846,2720
15839,TUTAZÁ,2579,3946,3167.9,1367,3166
15842,ÚMBITA,1826,3464,2637.5,1638,2470
15861,VENTAQUEMADA,2435,3447,2869.3,1012,2998
15879,VIRACACHÁ,2207,3535,2732.7,1328,2860
15897,ZETAQUIRA,1141,3494,2527.3,2353,1528
17001,MANIZALES,813,3735,1892.6,2922,2138
17013,AGUADAS,584,3217,1929.8,2633,2129
17042,ANSERMA,766,1897,1232.7,1131,1758
17050,ARANZAZU,1286,3717,2015.4,2431,2185
17088,BELALCÁZAR,850,1696,1063.2,846,1584
17174,CHINCHINÁ,867,1669,1299.9,802,1278
17272,FILADELFIA,726,1960,1238.7,1234,1177
17380,LA DORADA,147,384,216.1,237,200
17388,LA MERCED,699,2292,1263.9,1593,1446
17433,MANZANARES,1031,2311,1500.8,1280,1684
17442,MARMATO,680,2129,1357.3,1449,1685
17444,MARQUETALIA,578,1615,1067.3,1037,1615
17446,MARULANDA,1539,3755,2758.4,2216,2541
17486,NEIRA,737,3824,1780.7,3087,1752
17495,NORCASIA,185,992,417.9,807,547
17513,PÁCORA,696,3243,1733,2547,1995
17524,PALESTINA,808,1448,1077.3,640,1061
17541,PENSILVANIA,869,3491,1845.1,2622,2704
17614,RIOSUCIO,709,3228,1934.2,2519,2318
17616,RISARALDA,822,1800,1163.2,978,1188
17653,SALAMINA,1012,3348,2417.8,2336,2843
17662,SAMANÁ,311,1630,689.1,1319,1041
17665,SAN JOSÉ,933,1682,1116.3,749,1303
17777,SUPÍA,702,2980,1675.4,2278,1309
17867,VICTORIA,179,1067,331.3,888,261
17873,VILLAMARÍA,1365,4856,2634.1,3491,3168
17877,VITERBO,908,1430,1015.7,522,969
18001,FLORENCIA,222,3357,853,3135,503
18029,ALBANIA,225,280,244.6,55,255
18094,BELÉN DE LOS ANDAQUÍES,222,2692,792.3,2470,380
18150,CARTAGENA DEL CHAIRÁ,185,268,206.6,83,202
18205,CURILLO,211,253,230,42,221
18247,EL DONCELLO,216,3355,712.3,3139,306
18256,EL PAUJÍL,215,3409,712.2,3194,267
18410,LA MONTAÑITA,203,878,322.1,675,233
18460,MILÁN,196,280,222.2,84,219
18479,MORELIA,214,480,266.4,266,264
18592,PUERTO RICO,210,3214,826.3,3004,551
18610,SAN JOSÉ DEL FRAGUA,230,2764,1248.9,2534,1120
18753,SAN VICENTE DEL CAGUÁN,198,2710,593.5,2512,266
18756,SOLANO,93,241,185.6,148,241
18785,SOLITA,194,262,218.5,68,208
18860,VALPARAÍSO,212,268,234.1,56,241
19001,POPAYÁN,1389,2974,1972.1,1585,1743
19022,ALMAGUER,982,3379,2187.9,2397,2268
19050,ARGELIA,1374,3493,2875.1,2119,1408
19075,BALBOA,556,3354,1467.6,2798,2014
19100,BOLÍVAR,597,3005,1246,2408,1998
19110,BUENOS AIRES,985,2483,1391.1,1498,1280
19130,CAJIBÍO,1238,2966,1804.3,1728,1713
19137,CALDONO,1213,3127,1784,1914,1731
19142,CALOTO,969,2008,1138.7,1039,1168
19212,CORINTO,1009,4104,1768.8,3095,1739
19256,EL TAMBO,465,3112,1373.3,2647,1825
19290,FLORENCIA,1004,2371,1468.1,1367,1555
19300,GUACHENÉ,969,1055,996,86,989
19318,GUAPI,-3,3528,710.2,3531,89
19355,INZÁ,1142,3528,2466.6,2386,2851
19364,JAMBALÓ,1407,3712,2392.6,2305,1989
19392,LA SIERRA,700,2763,1317.6,2063,1391
19397,LA VEGA,968,3414,2084,2446,2362
19418,LÓPEZ DE MICAY,9,3011,528.4,3002,98
19450,MERCADERES,519,2098,852.2,1579,1082
19455,MIRANDA,982,3909,1566.8,2927,1281
19473,MORALES,1134,3106,1776.2,1972,1154
19513,PADILLA,977,1007,991.5,30,992
19517,PÁEZ,879,3997,2447.3,3118,2480
19532,PATÍA,556,2906,940.8,2350,596
19533,PIAMONTE,234,2676,1300.7,2442,569
19548,PIENDAMÓ - TUNÍA,1254,2249,1610.8,995,1680
19573,PUERTO TEJADA,955,984,969.2,29,966
19585,PURACÉ,2055,4409,3027.9,2354,4409
19622,ROSAS,844,2655,1431.9,1811,1446
19693,SAN SEBASTIÁN,1425,3546,2485.3,2121,3032
19698,SANTANDER DE QUILICHAO,972,2101,1238,1129,1144
19701,SANTA ROSA,402,3749,2071.9,3347,1125
19743,SILVIA,1751,3570,2786.3,1819,3159
19760,SOTARÁ - PAISPAMBA,1477,3774,2435.1,2297,2783
19780,SUÁREZ,1008,2739,1551.5,1731,1944
19785,SUCRE,763,3055,1275.5,2292,1674
19807,TIMBÍO,1044,2077,1628.7,1033,1757
19809,TIMBIQUÍ,0,3137,480.2,3137,48
19821,TORIBÍO,1266,4147,2839.5,2881,2625
19824,TOTORÓ,1663,3543,2310.3,1880,2705
19845,VILLA RICA,958,993,971.5,35,968
20001,VALLEDUPAR,47,3752,854.6,3705,365
20011,AGUACHICA,34,1916,499.4,1882,111
20013,AGUSTÍN CODAZZI,48,3335,604.7,3287,123
20032,ASTREA,35,114,65,79,84
20045,BECERRIL,44,2762,364.3,2718,103
20060,BOSCONIA,46,221,76.4,175,83
20175,CHIMICHAGUA,21,608,78.2,587,24
20178,CHIRIGUANÁ,26,1178,152.3,1152,40
20228,CURUMANÍ,22,2414,288.2,2392,188
20238,EL COPEY,75,677,264.3,602,209
20250,EL PASO,35,66,48.1,31,46
20295,GAMARRA,33,178,66.9,145,65
